SpotNo	Co1	Co2	Co3	Co4	Co5	Co6	Co7	Co8	Co9	Co10	Co11	Co12	Ca1	Ca2	Ca3	Ca4	Ca5	Ca6	Ca7	Ca8	Ca9	Ca10	Ca11	Ca12
1	NaN	-3.5251395365379206	-4.262061034073939	-3.345082433316549	-3.509239107529562	NaN	-3.599705816787093	NaN	NaN	-5.016238390153799	NaN	-4.198719669946069	-3.1822812827862172	-5.046211867064846	-3.024882802659854	-3.967559592231013	-4.024142867532547	-5.728945380706725	-4.633716014864972	NaN	-3.729328970288625	-4.391800413540618	-3.3418279946364056	-3.096239721570145	
2	NaN	NaN	NaN	-6.710852222150966	-5.905054981824402	-6.0543449196719425	-4.920542200329024	NaN	NaN	-5.915370133264277	NaN	-5.775226267484613	-4.710474972659457	-5.33070378563246	-4.181866547403235	-6.26485080384903	-6.3250453641757165	-5.630201104372893	-5.0700397680736655	NaN	-5.446575684556331	-4.814954371849899	NaN	NaN	
3	-5.852884115088445	-5.639229310474699	-6.597201597387114	-5.935704629380455	-6.432764382347355	-3.900264797476377	-6.637078510376839	-5.906828775561547	-5.180068127759387	-6.753614124164644	-6.912521735098529	-6.867306723338551	-5.921612229907076	-5.1326155770037225	-5.358459501102538	-6.258924172206776	-6.1576179388301195	-4.901019226959833	-5.913501614630195	-5.245889170793305	-5.993637103296663	-5.284959772775256	-8.620131934249944	-5.701809021650312	
4	-6.262317187481784	-7.12529359771519	-7.882016288182521	-5.076588012750597	-6.445254092140344	-7.154467192210749	-5.424255957021895	-7.5656036557422395	-5.252460579509879	-5.968028326160853	NaN	-6.483300394090229	-6.147206645540105	-6.801965864040785	-6.356286319005582	-6.761598163500334	-5.415591582973136	-6.035195305758328	-6.1115290229917125	-4.532322651294456	-6.305377480557971	-5.770268549215218	-5.688983111821722	-5.819176653289629	
5	NaN	NaN	NaN	NaN	NaN	-3.846977612964067	NaN	NaN	NaN	NaN	-2.573135443437029	-4.683286880940661	-4.1042915262942	-2.701339790769102	-2.5925015873249797	-3.4206349112014185	-3.082202231723484	-3.980076816557029	-3.4604936253388	-3.2525971297908383	-2.8689428408589372	-2.6342482225634836	-4.260606745617164	-2.0253474868386623	
6	-2.705383320092669	-2.758957041145958	-2.4613550593248164	-3.6759569638408807	NaN	-2.994244732194061	-4.192033198732743	-5.415108511120375	NaN	-5.236669952832215	-4.156777392441594	NaN	-4.455470488968707	-4.514341659315514	-2.410770965389066	-3.4794768453629583	-3.7658887163675483	-2.311213970838833	-4.370576260804225	-1.6741255472884191	-3.875926437923883	-5.57875156476115	-5.203540302397014	-4.351234210322862	
7	-5.446792705822913	-3.881407343938955	-3.6012577234318424	-3.9610601912598633	-3.5759326345674216	-3.09723803927962	-5.308202058097434	-3.057490063994595	-2.9594337159127218	-5.351988103282789	-3.4647214368409283	NaN	-3.218217929921547	-3.7798823261272485	NaN	-5.52417303311042	-4.9758837340706945	-4.0952766977177415	-2.4140261263008576	-2.7105903209187425	-1.5494425967491519	-5.55573947946508	-3.0412086501173903	-3.7409149650508864	
8	-3.613983134921698	NaN	-4.927954384769022	NaN	-4.2046973633055735	NaN	NaN	-5.002243271695326	-4.73571117826857	-4.869082945489484	-4.609515017022608	-5.677437453433516	-2.6858923639102237	-5.185643785622234	-4.152722877698524	-5.252455938568587	-3.5352915398728486	-5.241194248280113	-4.705532042905191	-4.632768434760572	-5.9197076409391975	-5.726962600948388	-2.223429783053823	-4.585503891418377	
9	-5.789858827603864	-3.4596592105691393	-5.33108945336069	-3.4636826543415484	NaN	NaN	NaN	-3.7220400158811158	-2.7079786920763893	-7.043539033984055	-3.3005862166134188	-4.99916646127962	-4.397339772113838	-2.6321912100746205	-4.684658947813978	-5.442126483322438	-5.6636658572593435	-5.0743634714371115	-4.839831024065573	-4.941538347031539	-5.531551909076665	-6.870126504087176	-5.520625113619626	-3.690856408212949	
10	-5.3959782475969105	NaN	NaN	-6.0844543723236795	-4.8490618686792155	-5.842455238221667	NaN	-6.475864742471439	-6.107695036833658	NaN	-6.5074540642662475	NaN	-6.671865525687017	-6.751390503766875	-7.006896836027006	-6.31336708131541	-7.915438706538397	-5.25419185778116	-3.8519809566694714	-5.064894763668439	-6.132982579491555	-5.541702071223775	-7.7374267963103165	-5.249520864785027	
